seq_len,method,exp_mode,target_fraction,actual_fp16_pct,top_k,kernel_ms,kernel_speedup,e2e_ms,e2e_speedup,cos_fp16,nan,inf,batch_size,q_heads,kv_heads,head_dim,dtype,causal,exp_approx,input_scale,warmup,repeat,seed,gpu
16384,fp4,exp_approx,0.0,0.0,0,1.959231972694397,2.59183197264851,2.130064010620117,2.389659615658414,0.9597041606903076,0,0,1,16,16,128,fp16,True,True,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
16384,thrift_5%,exp,0.05,4.623662451361867,6,2.7240160703659058,1.8641593652501631,3.350495934486389,1.5192162725983356,0.9939430952072144,0,0,1,16,16,128,fp16,True,False,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
16384,thrift_5%,exp_approx,0.05,4.623662451361867,6,2.4545921087265015,2.068775521037234,3.040719985961914,1.6739877293686602,0.9827573299407959,0,0,1,16,16,128,fp16,True,True,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
16384,thrift_10%,exp,0.1,9.879620622568094,13,2.970655918121338,1.7093868184760728,3.563472032546997,1.42841809854422,0.9955800771713257,0,0,1,16,16,128,fp16,True,False,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
16384,thrift_10%,exp_approx,0.1,9.879620622568094,13,2.6599680185317993,1.9090455348660218,3.248703956604004,1.5668180335727473,0.9872393608093262,0,0,1,16,16,128,fp16,True,True,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
16384,thrift_25%,exp,0.25,24.753769455252918,34,3.4946720600128174,1.4530691239297362,4.096479892730713,1.242561437681856,0.9975042343139648,0,0,1,16,16,128,fp16,True,False,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
16384,thrift_25%,exp_approx,0.25,24.753769455252918,34,3.211471915245056,1.5812064382562308,3.8098560571670532,1.3360420626314227,0.9927713871002197,0,0,1,16,16,128,fp16,True,True,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
32768,fp16,-,1.0,100.0,512,19.329343795776367,1.0,19.40617561340332,1.0,0.9999998807907104,0,0,1,16,16,128,fp16,True,,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
32768,fp4,exp,0.0,0.0,0,8.618031978607178,2.242895343595641,9.019775867462158,2.1515141726978992,0.9837342500686646,0,0,1,16,16,128,fp16,True,False,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
32768,fp4,exp_approx,0.0,0.0,0,7.544496059417725,2.5620457143254423,7.936016082763672,2.4453296731028336,0.9593819379806519,0,0,1,16,16,128,fp16,True,True,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
